area,price
67.45,84518.73
57.93,75119.09
69.72,94488.91
82.85,109952.56
56.49,54008.55
56.49,58407.28
83.69,105576.18
71.51,90951.68
52.96,68699.94
68.14,120293.4
53.05,69367.39
53.01,74972.52
63.63,85895.34
31.3,44074.87
34.13,37798.79
51.57,69468.52
44.81,46040.79
64.71,75288.27
46.38,50801.93
38.82,47397.27
81.98,121528.26
56.61,49263.37
61.01,80078.11
38.63,30227.37
51.83,57481.79
61.66,84886.11
42.74,51924.92
65.64,67985.12
50.99,54035.47
55.62,73545.49
50.97,53865.61
87.78,107505.59
59.8,72212.77
44.13,46445.2
72.34,108245.25
41.69,56364.0
63.13,55508.12
30.6,38590.48
40.08,41474.79
62.95,84067.84
71.08,77367.19
62.57,73937.26
58.27,74968.2
55.48,75237.69
37.82,33383.64
49.2,55697.79
53.09,58959.05
75.86,84494.91
65.15,95839.67
33.55,44315.09
64.86,65224.67
54.22,74247.14
49.85,81036.97
69.18,93334.83
75.46,75364.29
73.97,83920.7
47.41,69563.2
55.36,59357.48
64.97,82400.94
74.63,97306.15
52.81,54105.56
57.22,68062.88
43.4,19673.3
42.06,40224.4
72.19,84099.78
80.34,83934.49
58.92,87027.93
75.05,75762.18
65.42,74109.0
50.32,61695.25
65.42,92917.85
83.07,85326.04
59.46,82986.77
83.47,100265.92
20.7,15029.5
72.33,91415.28
61.31,75557.44
55.51,60615.7
61.38,74349.71
30.19,32370.62
56.7,69181.08
65.36,85049.33
82.17,114462.26
52.23,50292.98
47.87,78777.45
52.47,43447.5
73.73,86959.39
64.93,83800.69
52.05,65274.24
67.7,75011.82
61.46,71666.17
74.53,84505.6
49.47,53469.4
55.09,74598.1
54.12,68512.21
38.05,38727.63
64.44,86326.16
63.92,79771.99
60.08,80220.66
56.48,74073.72
38.77,38233.38
53.69,58826.57
54.86,73304.07
47.97,63662.71
57.58,68887.84
66.06,80446.19
88.29,118728.0
62.62,69226.69
63.86,82106.88
58.88,68638.05
31.22,35285.31
59.6,82510.52
60.9,81338.31
96.95,124473.45
57.11,81592.29
64.52,77637.89
59.48,78194.72
42.47,47861.13
77.14,95812.47
71.28,84233.36
71.87,87208.53
46.36,61582.6
81.04,89068.09
38.97,67690.55
68.8,72503.25
92.86,99286.32
45.14,65751.45
51.51,69723.27
61.49,80034.92
52.45,69220.89
36.74,43965.59
61.03,64261.59
44.07,53636.58
67.1,73753.05
46.21,65201.56
83.25,98428.25
48.25,49646.47
55.17,62989.03
72.2,90772.62
41.54,44207.2
63.41,67872.07
79.61,97965.44
35.89,45514.97
62.77,70253.98
63.9,71967.51
71.73,88393.31
41.45,35254.04
40.19,34157.14
67.83,74210.51
64.45,75211.25
63.76,79617.95
65.2,92989.63
49.8,68336.15
63.48,74581.18
64.4,77085.14
49.28,49116.38
87.99,105398.81
67.11,77642.41
42.13,53783.72
69.85,75545.66
45.38,59649.2
71.81,101494.91
77.38,91767.12
47.69,61244.84
74.45,96242.21
66.19,75417.85
72.33,89038.01
88.45,106268.2
56.32,68559.77
48.69,50702.65
46.66,56233.84
47.76,62295.4
58.84,85123.61
65.12,87733.44
64.15,98512.26
72.41,79215.82
60.2,80957.24
81.8,99997.03
56.03,89134.21
100.8,112880.06
69.39,74864.79
47.14,50577.24
43.94,31484.98
67.24,75426.95
56.65,60386.34
70.71,86355.95
67.1,83935.84
58.91,89450.79
47.3,66261.95
37.28,38963.71
53.3,54978.58
72.85,92334.37
63.21,62651.36
41.31,67891.29
62.6,86911.66
65.78,74243.96
46.74,38959.22
62.31,88305.78
60.87,71902.36
42.86,63804.7
